domestic_player_key,domestic_player_name,role,domestic_sample,domestic_impact_score,domestic_impact_percentile,domestic_profile_type,match_rank,ipl_player_key,ipl_player_name,ipl_sample,ipl_impact_score,ipl_impact_percentile,ipl_profile_type,distance,similarity_score
af863475,Bhanu Pania,bat,18.0,-0.6236498607914622,9.361702127659575,Balanced batting group,3,e4a0deae,MJ Santner,21.0,-0.5437357135934245,16.57142857142857,Low-output batting group,0.7091938207093783,58.507115336104086
b11d8647,Ashwin Hebbar,bat,35.0,0.3605338833194477,71.48936170212767,Run accumulators,1,740742ef,RG Sharma,273.0,0.5873607748540715,78.85714285714286,Run accumulators,0.6618508282675242,60.173872587739886
b11d8647,Ashwin Hebbar,bat,35.0,0.3605338833194477,71.48936170212767,Run accumulators,2,39f01cdb,KP Pietersen,36.0,0.5234267696087753,76.85714285714286,Run accumulators,0.8065360942075177,55.35455412191335
b11d8647,Ashwin Hebbar,bat,35.0,0.3605338833194477,71.48936170212767,Run accumulators,3,b8a55852,BB McCullum,109.0,0.571903432394053,78.0,Run accumulators,0.8200323793165208,54.94407744413489
b4296080,Milind Kumar,bat,26.0,0.029799324503393385,51.91489361702127,Balanced batting group,1,e1d1b294,HH Gibbs,36.0,0.02505596081219146,48.285714285714285,Balanced batting group,0.5303794207413508,65.34327281502368
b4296080,Milind Kumar,bat,26.0,0.029799324503393385,51.91489361702127,Balanced batting group,2,2e8994e7,JP Duminy,75.0,0.2577339275557255,61.142857142857146,Balanced batting group,0.6203825492877091,61.71382186506402
b4296080,Milind Kumar,bat,26.0,0.029799324503393385,51.91489361702127,Balanced batting group,3,93b4fc78,MK Pandey,161.0,0.1914832919511884,58.57142857142858,Balanced batting group,0.6287763194953407,61.395784554986626
b63e358a,RK Bhui,bat,28.0,1.0765877979599088,98.29787234042553,Run accumulators,1,c4487b84,AB de Villiers,170.0,1.0480974861268513,94.0,Run accumulators,0.959848318579583,51.02435686067576
b63e358a,RK Bhui,bat,28.0,1.0765877979599088,98.29787234042553,Run accumulators,2,e798611a,HM Amla,16.0,0.7445694048970962,87.14285714285714,Run accumulators,1.2960399778196032,43.553248621987564
b63e358a,RK Bhui,bat,28.0,1.0765877979599088,98.29787234042553,Run accumulators,3,844e79d1,D Brevis,23.0,0.6068548957467004,80.85714285714286,Run accumulators,1.3147507744869957,43.20119517927903
b93a5d0b,Kolla Sumanth,bat,18.0,-0.8766288584154286,6.808510638297872,Low-output batting group,1,81c36ee9,M Jansen,25.0,-0.5866431111761197,14.571428571428571,Low-output batting group,0.7206039690432583,58.11912665504602
b93a5d0b,Kolla Sumanth,bat,18.0,-0.8766288584154286,6.808510638297872,Low-output batting group,2,bcce309e,WPUJC Vaas,11.0,-0.49862158656899896,19.142857142857142,Low-output batting group,0.7348204352279236,57.642853386645655
b93a5d0b,Kolla Sumanth,bat,18.0,-0.8766288584154286,6.808510638297872,Low-output batting group,3,abfeb126,M Kartik,14.0,-0.5811341149708977,14.857142857142858,Low-output batting group,0.7550572891143635,56.9781970196893
bc67cc22,Bavanaka Sandeep,bat,29.0,-0.16660609239714658,35.319148936170215,Balanced batting group,1,7ca5e05d,RS Bopara,22.0,0.03522605822775987,48.57142857142857,Balanced batting group,0.4324357077314086,69.81116112943945
bc67cc22,Bavanaka Sandeep,bat,29.0,-0.16660609239714658,35.319148936170215,Balanced batting group,2,2e8994e7,JP Duminy,75.0,0.2577339275557255,61.142857142857146,Balanced batting group,0.7741526769127689,56.36493482286518
bc67cc22,Bavanaka Sandeep,bat,29.0,-0.16660609239714658,35.319148936170215,Balanced batting group,3,cf73ad76,JEC Franklin,16.0,-0.1638173169835694,36.285714285714285,Balanced batting group,0.8714635570429513,53.434115574233935
bc6d8229,Kumar Deobrat,bat,28.0,-0.016496045568349556,48.08510638297872,Balanced batting group,1,5b8c830e,KH Pandya,120.0,0.09610425950200484,53.714285714285715,Balanced batting group,0.3798491092722896,72.47169225100157
bc6d8229,Kumar Deobrat,bat,28.0,-0.016496045568349556,48.08510638297872,Balanced batting group,2,2e171977,AR Patel,133.0,0.04417629540247791,50.0,Balanced batting group,0.5378932391738083,65.02401951758517
bc6d8229,Kumar Deobrat,bat,28.0,-0.016496045568349556,48.08510638297872,Balanced batting group,3,4ae1755b,HC Brook,11.0,0.023191046385024085,47.714285714285715,Balanced batting group,0.5544454806645223,64.33162259074548
bee290b6,Suboth Bhati,bat,17.0,-0.08230187770101177,42.5531914893617,Balanced batting group,1,ae78bc32,MS Gony,15.0,-0.055980345439202675,43.42857142857143,Balanced batting group,1.3608977953534103,42.356767919735674
bee290b6,Suboth Bhati,bat,17.0,-0.08230187770101177,42.5531914893617,Balanced batting group,2,46a9bea1,TU Deshpande,10.0,-0.04836208560467379,44.0,Low-output batting group,1.8429501974381555,35.174728030801305
